id,name,element
agri.nutrient_zn,Zn,Zinc
agri.nutrient_ca,Ca,Calcium
agri.nutrient_h,H,Hydrogen
agri.nutrient_o,O,Oxygen
agri.nutrient_s,S,Sulphur
agri.nutrient_cl,Cl,Chlorine
