id,name,parent_id/id,is_agri,cost_type,cost_driver,uom_id/id,sale_ok,purchase_ok
agri.product_category_crop_chicory,Chicory,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_chives,Chives,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_chrysanthemums,Chrysanthemums,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_clementines,Clementines,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_grazing_clover,Clover,agri.product_category_grazing,True,grazing,land,agri.agri_uom_ha,,True
agri.product_category_permanent_crop_coffee,Coffee,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_cold_stores,Cold stores,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_sq_m,,True
agri.product_category_conifers,Conifers,agri.product_category_timber,True,timber,land,agri.agri_uom_ha,,True
agri.product_category_grazing_conservation,Conservation,agri.product_category_grazing,True,grazing,land,agri.agri_uom_ha,,True
agri.product_category_non_agri_cow_sheds,Cow sheds,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_sq_m,,True
agri.product_category_permanent_crop_cranberries,Cranberries,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_crops,Crops,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_cucumbers,Cucumbers,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_currants,Currants,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_kgm,True,
agri.product_category_crop_cut_flowers,Cut flowers,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_cuttings,Cuttings,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_grazing_cynodon,Cynodon,agri.product_category_grazing,True,grazing,land,agri.agri_uom_ha,,True
agri.product_category_non_agri_dams,Dams,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_ha,,True
agri.product_category_non_agri_domestic_health,Domestic health,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_sq_m,,True
agri.product_category_crop_durum,Durum,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_eggplants,Eggplants,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_eucalyptus,Eucalyptus,agri.product_category_timber,True,timber,land,agri.agri_uom_ha,,True
agri.product_category_crop_field_crops,Field crops,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_figs,Figs,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_fire_breaks,Fire breaks,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_ha,,True
agri.product_category_crop_flowers,Flowers,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_gardens,Gardens,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_sq_m,,True
agri.product_category_crop_garlic,Garlic,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_gem_squash,Gem squash,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_gherkins,Gherkins,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_ginger,Ginger,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_gladioli,Gladioli,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_gooseberries,Gooseberries,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_grapefruit,Grapefruit,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_grazing_grass_crops,Grass crops,agri.product_category_grazing,True,grazing,land,agri.agri_uom_ha,,True
agri.product_category_grazing_grazing,Grazing,agri.product_category_grazing,True,grazing,land,agri.agri_uom_ha,,True
agri.product_category_permanent_crop_grenadillas,Grenadillas [syn. Passion fruit],agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_groundnuts,Groundnuts [syn. Peanuts],agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_growing_medium,Growing medium,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_sq_m,,True
agri.product_category_permanent_crop_guavas,Guavas,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_hazelnuts,Hazelnuts,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_livestock_product_hides,Hides,agri.product_category_livestock_product,True,livestock_product,head,uom.product_uom_kgm,True,
agri.product_category_permanent_crop_hops,Hops,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_horticultural_crops,Horticultural crops,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_hubbard_squash,Hubbard squash,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_grazing_impatiens,Impatiens,agri.product_category_grazing,True,grazing,land,agri.agri_uom_ha,,True
agri.product_category_non_agri_industrial_use,Industrial use,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_ha,,True
agri.product_category_grazing_kikuyu,Kikuyu,agri.product_category_grazing,True,grazing,land,agri.agri_uom_ha,,True
agri.product_category_permanent_crop_kiwifruit,Kiwifruit,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_kumquats,Kumquats,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_lakes,Lakes,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_ha,,True
agri.product_category_non_agri_lawns,Lawns,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_sq_m,,True
agri.product_category_permanent_crop_lemons,Lemons,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_lettuce,Lettuce,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_limes,Limes,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_litchies,Litchies,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_loganberries,Loganberries,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_kgm,True,
agri.product_category_grazing_lucerne,Lucerne [syn. Alfalfa],agri.product_category_grazing,True,grazing,land,agri.agri_uom_ha,,True
agri.product_category_grazing_lupins,Lupins,agri.product_category_grazing,True,grazing,land,agri.agri_uom_ha,,True
agri.product_category_permanent_crop_macadamia_nuts,Macadamia nuts,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_maize,Maize,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_mandarins,Mandarins,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_mangoes,Mangoes,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_marigolds,Marigolds,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_marrows,Marrows,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_medicagos,Medicagos [syn. Medics],agri.product_category_grazing,True,grazing,land,agri.agri_uom_ha,,True
agri.product_category_crop_melons,Melons,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_non_agri_minimum_cultivation,Minimum cultivation,agri.product_category_non_agri,True,non_agri,land,agri.agri_uom_ha,,True
agri.product_category_crop_mushrooms,Mushrooms,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_crop_musk_melons,Musk melons [syn. Canteloupe],agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_navels,Navels,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_nectarines,Nectarines,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_oaks,Oaks,agri.product_category_timber,True,timber,land,agri.agri_uom_ha,,True
agri.product_category_crop_oats,Oats,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_olives,Olives,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_onions,Onions,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_oranges,Oranges,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_orchards,Orchards,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
agri.product_category_crop_ornamentals,Ornamentals,agri.product_category_crop,True,crop,land,uom.product_uom_ton,True,
agri.product_category_permanent_crop_papayas,Papayas,agri.product_category_permanent_crop,True,permanent_crop,land,uom.product_uom_ton,True,
